name,sector,founded,amount_raised,headquarters,founders,country
DocsApp,Health Tech,2015,$47.58 Mn+,Bengaluru,"Enbasekar Dinadayalane, Satish Kannan",India
DotPe,Enterprise Tech,2019,$93.50 Mn+,Gurugram,"Anurag Gupta, Gyanesh Sharma, Shailaz Nag",India
Doubtnut,Edtech,2016,$52.34 Mn+,Gurugram,"Aditya Shankar, Ravi Sekhar KV, Tanushree Nagori",India
Dream11,Media & Entertainment,2008,$1.56 Bn+,Mumbai,"Harsh Jain,Bhavit Sheth",India
Dreamtime Learning,Edtech,2022,,Mumbai,Lina Ashar,India
Drip Capital,Fintech,2015,$408.00 Mn+,Mumbai,"Neil Kothari, Pushkar Mukewar",India
Drive FITT,Health Tech,2024,,Noida,"Deke Smith, Mark Sellar, Preity G Zinta, Shubman Gill,Vikram Aditya Bhatia",India
Drivezy,Travel Tech,2015,$149.20 Mn+,Bengaluru,"Abhishek Mahajan, Amit Sahu, Ashwarya Singh, Hemant Kumar Sah, Vasant Verma",India
Drools,Ecommerce,2009,$59.76 Mn+,Rajnandgaon,Fahim Sultan,India
Droom,Ecommerce,2014,$296.00 Mn+,Gurugram,Sandeep Aggarwal,India
Druva,Enterprise Tech,2008,$475.00 Mn+,Pune,"Jaspreet Singh, Milind Borate, Ramani Kothandaraman",India
Dunzo,Consumer Services,2015,$485.06 Mn+,Bengaluru,"Ankur Aggarwal, Dalvir Suri, Kabeer Biswas, Mukund Jha",India
Dvara KGFS,Fintech,2011,$100.32 Mn+,Chennai,"Bindu Ananth, Samar Shah",India
Dynolt Technologies,Clean Tech,2022,$1.70 Mn+,Bengaluru,"Rajesh Sura, Teja Kumar Balivada",India
E2E Networks,Enterprise Tech,2009,$50.10 Mn+,New Delhi,Tarun Dua,India
Easy Home Finance,Fintech,2017,$49.98 Mn+,Mumbai,"Hrishikesh Gandhi, Rohit Chokhani",India
EatClub Brands,Foodtech,2012,$105.37 Mn+,Mumbai,"Amit Raj, Anshul Gupta",India
EbixCash,Fintech,2002,$51.80 Mn+,Noida,Robin Raina,India
Ecom Express,Logistics,2012,$274.39 Mn+,Gurugram,"K. Satyanarayana, Manju Dhawan, Sanjeev Saxena, T. A. Krishnan",India
Ecozen Solutions,Clean Tech,2010,$94.80 Mn+,Pune,"Devendra Gupta, Prateek Singhal, Vivek Pandey",India
Educational Initiatives,Enterprise Tech,2001,$45.03 Mn+,Bengaluru,"Sridhar Rajagopal, Srini Raghavan",India
Eduvanz,Fintech,2016,$48.64 Mn+,Mumbai,"Atul Sashittal, Raheel Shah, Varun Chopra",India
Eightfold AI,Enterprise Tech,2016,$391.00 Mn+,Bengaluru,"Ashutosh Garg, Varun Kacholia",India
Elara Technologies,Real Estate Tech,2013,$135.00 Mn+,Gurugram,"Manoj Thandassery, Vinod Abraham",India
ElasticRun,Ecommerce,2016,$462.10 Mn+,Pune,"Sandeep Deshmukh, Saurabh Nigam, Shitiz Bansal",India
Electronic Payment and Services,Fintech,2011,$36.00 Mn+,Mumbai,"Mani Mamallan,Sanjay Kapoor,Vidya Mamallan",India
Embibe,Edtech,2012,$284.48 Mn+,Bengaluru,Aditi Avasthi,India
Eon Space Labs,Advanced Hardware & Technology,2021,$1.20 Mn+,Hyderabad,"Punit Badeka, Manoj Kumar, Sanjay Kumar",India
Epigamia,Ecommerce,2015,$60.09 Mn+,Mumbai,"Ganesh Krishnamoorthy, Milap Shah, Rahul Jain, Rohan Mirchandani, Uday Thakker",India
Equitas Small Finance Bank,Fintech,2007,$189.35 Mn+,Chennai,P.N Vasudevan,India
Eruditus Executive Education,Edtech,2010,$1.31 Bn+,Mumbai,"Ashwin Damera, Chaitanya Kalipatnapu",India
Euler Motors,Clean Tech,2018,$149.54 Mn+,New Delhi,Saurav Kumar,India
Even,Health Tech,2020,$70.45 Mn+,Bengaluru,"Alessandro Davide Ialongo, Matilde Giglio, Mayank Banerjee",India
Everest Fleet,Logistics,2016,$57.13 Mn+,Thane,"Amar Kerkar, Anand Chheda, Himani Ladsariya, Monil Sheth, Prihaans Dedhiya, Shivang Unadkat, Siddharth Ladsariya",India
Exotel,Enterprise Tech,2011,$87.09 Mn+,Bengaluru,"Ishwar Sridharan, Shivakumar Ganesan, Siddharth Ramesh, Vijay Sharma",India
Exponent Energy,Clean Tech,2020,$44.31 Mn+,Bengaluru,"Arun Vinayak, Sanjay Byalal Jagannath",India
Eye-Q India,Health Tech,2007,$38.00 Mn+,Gurugram,"Ajay Sharma, Rajat Goel",India
Ezetap,Fintech,2011,$51.00 Mn+,Bengaluru,"Abhijit Bose, Alfredo Ruiz López, Bala Parthasarathy, Bhaktha Keshavachar, Shripati Acharya",India
FINO PayTech,Fintech,2017,$52.60 Mn+,Mumbai,Rishi Gupta,India
FPL Technologies,Fintech,2019,$253.68 Mn+,Pune,"Anurag Sinha, Rupesh Kumar, Vibhav Hathi",India
Faasos,Foodtech,2011,$94.50 Mn+,Pune,"Kallol Banerjee, Jaydeep Barman",India
FabHotels,Travel Tech,2014,$67.65 Mn+,Gurugram,"Adarsh Manpuria, Vaibhav Aggarwal",India
FamPay,Fintech,2019,$42.70 Mn+,Bengaluru,"Kush Taneja, Sambhav Jain",India
FanClash,Media & Entertainment,2020,$50.50 Mn+,Gurugram,"Richa Singh, Rishabh Bhansali",India
FarEye,Logistics,2013,$155.32 Mn+,Noida,"Gaurav Srivastava, Kushal Nahata,Gautam Kumar",India
FarMart,Ecommerce,2015,$47.31 Mn+,Gurugram,"Alekh Sanghera, Lokesh Singh, Mehtab Singh Hans",India
Fashinza,Enterprise Tech,2020,$155.32 Mn+,Gurugram,"Abhishek Sharma, Pawan Gupta",India
Fashion & You,Ecommerce,2009,$72.40 Mn+,Gurugram,"Rahul Narvekar,Pearl Uppal, Gaurav Kachru",India
FastFox,Real Estate Tech,2014,$66.18 Mn+,Gurugram,"Anshul Gupta, Mukul Bhati, Pallav Pandey",India
Feline Spirits,Ecommerce,2019,$608.72K+,New Delhi,"Prabhat Sharma,Rohit Saxena",India
Fi.Money,Fintech,2019,$137.00 Mn+,Bengaluru,"Sujith Narayanan, Sumit Gwalani",India
Fibe,Fintech,2015,$233.27 Mn+,Pune,"Akshay Mehrotra, Ashish Goyal",India
Fincare,Fintech,2007,$113.72 Mn+,Bengaluru,Rajeev Yadav,India
Finodaya Capital,Fintech,2024,$2.50 Mn+,Indore,"Neeraj Biyani, Abhitabh Dixit,Lokendra Tomar",India
Finova Capital,Fintech,2015,$276.00 Mn+,Jaipur,"Mohit Sahney, Sunita Sahney",India
Firefly Diamonds,Ecommerce,2023,$3.00 Mn+,Mumbai,"Adit Bhansali,Aayush Bhansali",India
FirstCry,Ecommerce,2010,$1.13 Bn+,Pune,"Amitava Saha, Prashant Jadhav, Sanskriti Hattimattur, Supam Maheshwari",India
Fisdom,Fintech,2015,$42.25 Mn+,Bengaluru,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V.",India
Flexiloans,Fintech,2016,$182.94 Mn+,Mumbai,"Abhishek Kothari, Deepak Jain, Manish Lunia, Ritesh Jain",India
Flipkart,Ecommerce,2007,$14.01 Bn+,Bengaluru,"Binny Bansal, Sachin Bansal",India
FloBiz,Fintech,2019,$43.98 Mn+,Bengaluru,"Aditya Naik, Rahul Raj, Rakesh Yadav",India
Foodpanda India,Foodtech,2012,$110.00 Mn+,Bengaluru,"Rohit Chadda, Saurabh Kochhar",India
Fourth Partner Energy,Clean Tech,2010,$639.67 Mn+,Hyderabad,"Saif Dhorajiwala, Vikas Saluguti, Vivek Subramanian",India
Foxtale,Ecommerce,2021,$67.13 Mn+,Mumbai,Romita Mazumdar,India
Fraazo,Ecommerce,2018,$63.01 Mn+,Mumbai,"Aashish Krishnatre, Atul Kumar, Sumit Rai, Vikas Dosala",India
Fractal Analytics,Enterprise Tech,2000,$685.00 Mn+,Mumbai,"Pranay Agrawal, Srikanth Velamakanni,Nirmal Palaparthi,Pradeep Suryanarayan,Ramakrishna Reddy",India
FreeCharge,Fintech,2010,$174.25 Mn+,Gurugram,"Kunal Shah, Sandeep Tandon",India
FreshMenu,Foodtech,2014,$37.38 Mn+,Bengaluru,Rashmi Daga,India
FreshToHome,Ecommerce,2015,$377.00 Mn+,Bengaluru,Shan Kadavil,India
Freshworks,Enterprise Tech,2010,$484.00 Mn+,Chennai,"Girish Mathrubootham, Shan Krishnasamy, Vijay Shankar",India
Furlenco,Ecommerce,2012,$269.47 Mn+,Bengaluru,Ajith Karimpana,India
Fusion Microfinance,Fintech,2009,$229.46 Mn+,New Delhi,"Ashish Tiwari, Devesh Sachdev",India
G.O.A.T Brand Labs,Ecommerce,2021,$106.97 Mn+,Bengaluru,"Rameswar Misra, Rishi Vasudev",India
GIVA,Ecommerce,2019,$90.07 Mn+,Bengaluru,"Ishendra Agarwal, Nikita Prasad, Raghvendra Agarwal, Sachin Shetty",India
GMW,Clean Tech,2021,$50.00 Mn+,Hyderabad,"Rahul Gayam, Raja Gayam, Sri Harsha Bavirisetty",India
GOPIZZA,Foodtech,2017,$38.15 Mn+,Bengaluru,Jae Won Lim,India
GPS Renewables,Clean Tech,2012,$52.19 Mn+,Bengaluru,"Mainak Chakraborty, Sreekrishna Sankar",India
Gaana,Media & Entertainment,2010,$206.20 Mn+,Noida,"Avinash Mudaliar, Jai Thade",India
