name,sector,founded,headquarters,founders,country,amount_raised_inr
Airwoot,Enterprise Tech,2012.0,New Delhi,"Achal Aggarwal, Prabhat Saraswat, Saurabh Arora",India,
Ais Technolabs,Enterprise Services,2010.0,Ahmedabad,Sunny Chawla,India,
Aisle,Media & Entertainment,2014.0,Bengaluru,Able Joseph,India,
Aissel Technologies,Enterprise Tech,2010.0,Hubballi,"Mahesh Grampurohit, Prasad Patil, Suraj Prabhu",India,
Ajjas,Enterprise Tech,2016.0,Bhopal,"Gaurav Verma, Shailendra Singh",India,
AjnaLens,Deeptech,2014.0,Mumbai,"Abhijit Patel, Abhishek Tomar, Pankaj Raut",India,"Rs 339,470,000.0"
Akaike Technologies,Enterprise Tech,2018.0,Bengaluru,Rahul Thota,India,
Akasa Air,Travel Tech,2021.0,Mumbai,"Aditya Ghosh, Aditya Ghosh, Anand Srinivasan, Belson Coutinho, Bhavin Joshi, Neelu Khatri, Niraj Dube, Praveen Iyer, Sanjay Dube, Vinay Dube",India,"Rs 2,900,850,000.0"
Aker Foods,,2019.0,Pune,"Adarsh Kedari, Manoj Jadhav, Nihal Surve, Suraj Saste",India,
Akiva Superfoods,Ecommerce,2016.0,Gurugram,Shalabh Gupta,India,"Rs 166,000,000.0"
Aknamed,Enterprise Tech,2018.0,Bengaluru,"Mayank Kapoor, Saurabh Pandey, Varun Vohra",India,"Rs 4,703,610,000.0"
Akshayakalpa,Ecommerce,2010.0,Bengaluru,"Dr. G.N.S. Reddy, Shashi Kumar",India,"Rs 2,482,530,000.0"
Aksum,Enterprise Tech,2021.0,New Delhi,"Sumit Bhatia,Ankit Jain",India,"Rs 83,000,000.0"
