name,sector,founded,amount_raised,headquarters,founders,country
Acculi Labs,,2017.0,$2.18 Mn+,Bengaluru,"Hari Prasath M., Rupam Das",India
Accumax,Health Tech,2003.0,$68.00 Mn+,Gandhinagar,"Chirag Shah,Tejas Shah",India
Ace Turtle,Enterprise Tech,2014.0,$48.41 Mn+,Bengaluru,"Berry Singh, Nitin Chhabra",India
Acefour Accessories,Ecommerce,2022.0,$17.50 Mn+,Mumbai,"Sudip Ghose, Arnob Kumar Mondal, Uday Sodhi",India
Acko,Fintech,2016.0,$595.00 Mn+,Bengaluru,"Ruchi Deepak, Varun Dua",India
Acru,Enterprise Tech,2019.0,,Bengaluru,"Manjunath Reddy, Hari Praveen",India
Acsia Technologies,Enterprise Tech,2014.0,,Trivandrum,"Jijimon Chandran, Sabeen Abusali",India
ActOnMagic,Enterprise Tech,2014.0,,Bengaluru,"Madan Ganesh Velayudham, Sumathi Kuppusamy",India
Action Ment,Enterprise Tech,2022.0,,Bengaluru,Sagar Kalsekar,India
Actlogica,Fintech,2019.0,$390.65K+,Hyderabad,"Ameet Ayare, Archana Anoor",India
Actofit,Health Tech,2014.0,$750.00K+,Mumbai,"Aashutosh Sharma, Nikhil Lamba, Pratik Saraogi",India
Actyv.ai,Enterprise Tech,2019.0,$12.00 Mn+,Bengaluru,"Ambarish Ojha, Raghu Venkat, Raghunath Subramanian, Ramkumar Thirumurthi",India
Acubiosys,Health Tech,2017.0,,Hyderabad,Srinivas Maddi,India
Acuradyne Systems,Health Tech,2017.0,,Mumbai,Sushanth Poojary,India
AdOnMo,Enterprise Tech,2017.0,$50.00 Mn+,Hyderabad,"Sandeep Bommireddi, Sravanth Gajula",India
AdStringO,Enterprise Tech,2014.0,$350.00K+,Navi Mumbai,Mohan Chandrasekaran,India
AdUrCup,Enterprise Tech,2015.0,$425.00K+,Noida,"Abhishek Verma, Harshit Mittal, Kumar Kushang, Nitin Prakash",India
AdWyze,Enterprise Tech,2014.0,$1.00 Mn+,Bengaluru,"Ankur Gupta, Arun Srinivasan",India
Adansa,Fintech,2011.0,$1.80 Mn+,Kolkata,"Neeraj Kumar Jain,Anurag Mohta",India
Adapt motors,Ecommerce,2015.0,,Hyderabad,"Bharath Mamidoju, Parupati Madukar",India
Adda247,Edtech,2016.0,$61.00 Mn+,Gurugram,"Anil Nagar, Saurabh Bansal",India
AddressHealth,Health Tech,2010.0,$1.50 Mn+,Bengaluru,Anand Lakshman,India
Adiabatic,Clean Tech,2022.0,,Ahmednagar,,India
Adicube,Media & Entertainment,2021.0,$1.60 Mn+,Bengaluru,Sreetam Panda,India
Adiuvo Diagnostics,Enterprise Tech,2015.0,,Chennai,"Bala Pesala, Geethanjali Radhakrishnan",India
AdmitKard,Edtech,2016.0,$11.70 Mn+,Noida,"Piyush Bhartiya, Rachit Agrawal",India
Adonia Hospitality,Consumer Services,2021.0,$1.00 Mn+,Mumbai,Rupesh Kumar,India
Adsys,Health Tech,2021.0,$154.37K+,Jaipur,"Hardik Sharma, Apoorv Agarwal, Yash Badola",India
Adukale,Ecommerce,2009.0,$2.64 Mn+,Bengaluru,"Nagaratna Ravindra,Malathi Sharma",India
AdvaRisk,Fintech,2016.0,$700.00K+,Mumbai,"Rahul Metkar, Vishal Sharma",India
Advance Mobility,Enterprise Tech,2023.0,$5.00 Mn+,Mumbai,Mohit Prakash Jalan,India
Advanced Structures India,Enterprise Tech,2014.0,,Bengaluru,Vaibhav Kumar,India
Advenio,Enterprise Tech,2010.0,$100.00K+,Chandigarh,Mausumi Acharyya,India
Adventum Student Living,Edtech,2019.0,$13.00 Mn+,Mumbai,"Amit Singh, Sanyatan Biswas",India
Adventures Overland,Travel Tech,2012.0,$1.00 Mn+,Gurugram,"Sanjay Madan, Tushar Agarwal",India
Advisory Mandi,Fintech,2016.0,$36.00 Mn+,Noida,"Kaushlendra Singh Sengar,Mahek Tomar",India
Adya,Enterprise Tech,2023.0,$1.26 Mn+,Bengaluru,"Shayak Mazumder,Angad Ahluwalia,Archana Shah",India
Adyaway,Ecommerce,2020.0,,Gurugram,Keshav Kumar,India
Aegeus Technologies,Advanced Hardware & Technology,2017.0,,Bengaluru,Suraj Vernekar,India
Aequs,Enterprise Services,2006.0,$81.40 Mn+,Belgaum,Aravind Melligeri,India
AerMed,Health Tech,2015.0,,New Delhi,"Aayush Jindal, Ashish Prakash, Naishadh Sutaria, Nandit Pathak, Nandit Pathak",India
Aerchain,Logistics,2019.0,$6.50 Mn+,Bengaluru,"Harsha Kadimisetty, Himavanth Jasti",India
Aerem,Fintech,2020.0,$7.50 Mn+,Mumbai,"Anand Jain,Vikesh Agrawal",India
Aereo,,2013.0,$16.80 Mn+,Bengaluru,"Nikhil Upadhye, Suhas Banshiwala, Vipul Singh, Yeshwanth Reddy",India
Aeria,Enterprise Tech,2023.0,$1.80 Mn+,Gurugram,"Priyanka Gera, Awnish Kumar, Piyush Kateja",India
Aeries Technology Group,Fintech,2012.0,,Mumbai,Sudhir Panikassery,India
Aerostrovilos,Deeptech,2017.0,$521.32K+,Chennai,"Rohit Grover,Pradeep Thangappan,Satya Chakravarthy,Rohit Grover,Pradeep Thangappan,Satya Chakravarthy",India
Aesthetic,Ecommerce,2000.0,,New Delhi,Divij Bajaj,India
Affordplan,Fintech,2016.0,$13.50 Mn+,Gurugram,"Hemal Bhatt, Tejbir Singh",India
Afinoz,Fintech,2015.0,,Noida,"Er Rachna Suneja, Pawneshwar Datt Rai, Vikas Kapoor",India
AgNext,Enterprise Tech,2016.0,$23.02 Mn+,Chandigarh,"Taranjeet Singh Bhamra,Sparsh Kuar",India
Agaamin Technologies,Enterprise Tech,2022.0,,Gurugram,,India
AggrePay,Fintech,2017.0,,Mumbai,Santosh Purabia,India
Agilitas Sports,Ecommerce,2023.0,$64.01 Mn+,Bengaluru,"Abhishek Ganguly,Amit Prabhu,Atul Baja",India
Agnihotri Aerospace,Advanced Hardware & Technology,2022.0,,Mangalore,,India
Agnikul,Advanced Hardware & Technology,2017.0,$61.24 Mn+,Chennai,"Moin SPM, Satyanarayanan Chakravarthy, Srinath Ravichandran",India
Agraga,Logistics,2021.0,$8.51 Mn+,Chennai,"Anoop Raghavan,Venkatesh N",India
Agrahyah Technologies,AI,2017.0,$1.00 Mn+,Mumbai,"Rushabh Vasa, Sreeraman Thiagarajan, Uppal Shah",India
Agri10x,Agritech,2018.0,,Pune,"Abhijith Naraparaju, Abhishek Chakrala, Pankajj P. Ghode, Sundeep Bose",India
AgriApp Technologies,Agritech,2014.0,$122.00K+,Bengaluru,Basavaraj Girennavar,India
AgriFi. AI,Enterprise Tech,2020.0,,Bengaluru,"Abhilash Thirupathy, Kapil Chawala",India
Agricx,Agritech,2016.0,$500.00K+,Thane,"Ritesh Dhoot, Saurabh Kumar",India
Agrigator,Enterprise Tech,2019.0,,Bhopal,"Charu Chaturvedi, Udit Sangwan",India
Agrilectric,Agritech,2022.0,,Bengaluru,"Pushpa Gopal, Rohan S, Sarvesha Y V",India
Agrim,Agritech,2020.0,$29.29 Mn+,Gurugram,"Avi Jain, Mukul Garg",India
Agrix,Agritech,2020.0,,Patna,"Nilay Pandey, Sandeep Joshi, Saurav Singh, Vivek Kumar",India
Agrizy,Agritech,2020.0,$18.78 Mn+,Bengaluru,"Saket Chirania, Vicky Dodani",India
Agro2o,Agritech,2018.0,,New Delhi,Yash Vyas,India
AgroStar,Agritech,2013.0,$111.50 Mn+,Pune,"Shardul Sheth, Sitanshu Sheth",India
AgroWave,Agritech,2017.0,$2.50 Mn+,Gurugram,"Anu Meena,Payal Jawalkar,Prakash Kushwaha",India
Agrya,Enterprise Services,2010.0,,Chennai,"Jaya Kumar M, Padmapriya V C",India
Agua Wireless Systems,Enterprise Tech,2019.0,,Bengaluru,Rohit Nara,India
Ahaguru,Edtech,2012.0,,Chennai,"Balaji Sampath, Gomathi Dhamodharan",India
Ahammune Biosciences,Health Tech,2016.0,$5.00 Mn+,Pune,"Parul Ganju,Dr Krishnamurthy Natarajan",India
Ai Health Highway,Health Tech,2018.0,$1.00 Mn+,Bengaluru,"Satish Jeevannavar, Radhakrishna Jamadagni",India
AiRTH,Ecommerce,2020.0,,New Delhi,"Abhimanyu Kumar, Birendra Rajan, Pushaan Singh, Ravi Kaushik",India
Aibono,Agritech,2014.0,$5.10 Mn+,Bengaluru,Vivek Rajkumar,India
Aica Health,Enterprise Tech,2022.0,,Gurugram,,India
Aidia Technovations,Edtech,2017.0,,Mumbai,Jigish Sonagara,India
Aikaan Lab Pvt Ltd,AI,2018.0,$15.00K+,Bengaluru,"Chetan Kumar, Pronoy Debnath",India
Aikenist,Enterprise Tech,2019.0,,Bengaluru,Ashwin Amarapuram,India
AirCTO,Enterprise Tech,2016.0,,Bengaluru,Atif Haider,India
AirMed Labs,Health Tech,2016.0,$1.40 Mn+,Ahmedabad,"Amit Gupta, Aradhana Gupta, Nayan Goyal, Piyush Gupta",India
AirOk,Ecommerce,2015.0,,New Delhi,Pavan Reddy Yasa,India
AirProbe,Advanced Hardware & Technology,2017.0,,Bengaluru,Ganesh Shankar,India
Airattix,Logistics,2020.0,$435.06K+,Pune,Aditya Kale,India
Airblack,Edtech,2019.0,$10.66 Mn+,Gurugram,"Pulkit Pujara, Vaibhav Raj Gupta, Videt Jaiswal",India
Airbound,Deeptech,2020.0,$1.70 Mn+,Bengaluru,"Faraaz Baig, Naman Pushp",India
Airpay,Fintech,2012.0,$3.60 Mn+,Mumbai,"Amit Kapoor, Kunal Jhunjhunwala, Rohan Deshpande",India
Airtel Start-up Accelerator Program,,2019.0,,New Delhi,,India
Airwoot,Enterprise Tech,2012.0,,New Delhi,"Achal Aggarwal, Prabhat Saraswat, Saurabh Arora",India
Ais Technolabs,Enterprise Services,2010.0,,Ahmedabad,Sunny Chawla,India
Aisle,Media & Entertainment,2014.0,$300.00K+,Bengaluru,Able Joseph,India
Aissel Technologies,Enterprise Tech,2010.0,,Hubballi,"Mahesh Grampurohit, Prasad Patil, Suraj Prabhu",India
Ajjas,Enterprise Tech,2016.0,,Bhopal,"Gaurav Verma, Shailendra Singh",India
AjnaLens,Deeptech,2014.0,$4.09 Mn+,Mumbai,"Abhijit Patel, Abhishek Tomar, Pankaj Raut",India
Akaike Technologies,Enterprise Tech,2018.0,,Bengaluru,Rahul Thota,India
Akasa Air,Travel Tech,2021.0,$34.95 Mn+,Mumbai,"Aditya Ghosh, Aditya Ghosh, Anand Srinivasan, Belson Coutinho, Bhavin Joshi, Neelu Khatri, Niraj Dube, Praveen Iyer, Sanjay Dube, Vinay Dube",India
Aker Foods,,2019.0,,Pune,"Adarsh Kedari, Manoj Jadhav, Nihal Surve, Suraj Saste",India
Akiva Superfoods,Ecommerce,2016.0,$2.00 Mn+,Gurugram,Shalabh Gupta,India
Aknamed,Enterprise Tech,2018.0,$56.67 Mn+,Bengaluru,"Mayank Kapoor, Saurabh Pandey, Varun Vohra",India
Akshayakalpa,Ecommerce,2010.0,$29.91 Mn+,Bengaluru,"Dr. G.N.S. Reddy, Shashi Kumar",India
Aksum,Enterprise Tech,2021.0,$1.00 Mn+,New Delhi,"Sumit Bhatia,Ankit Jain",India
Akudo,Fintech,2020.0,$4.20 Mn+,Bengaluru,"Jagveer Gandhi, Lavika Aggarwal, Sajal Khanna",India
Alaya,Ecommerce,2015.0,,Ambala,"Sabena Puri, Rina Dhaka, Sanchit Baweja",India
Alchemyst AI,Enterprise Tech,2023.0,$300.00K+,Bengaluru,"Uttaran Nayak, Anuran Roy",India
AlgoLeap,Enterprise Services,2021.0,,Hyderabad,Sai P. Chanderraju,India
AlgoTest,Fintech,2021.0,$500.00K+,New Delhi,Rajat Jaiswal,India
Algobulls,Fintech,2019.0,$2.49 Mn+,Mumbai,"Pushpak Dagade, Suraj Bathija",India
Algomage,AI,2021.0,$850.00K+,Mumbai,Anand Rathi,India
