name,sector,founded,headquarters,founders,country,amount_raised_inr,state
Fashor,Ecommerce,2017.0,Chennai,"Priyanka Kankaria, Sonsy Singhi, Vikram Kankaria",India,"Rs 498,000,000.0",Tamil Nadu
FastBeetle,Logistics,2019.0,Srinagar,"Abid Rashid, Sheikh Samiullah",India,,Jammu and Kashmir
FastFox,Real Estate Tech,2014.0,Gurugram,"Anshul Gupta, Mukul Bhati, Pallav Pandey",India,"Rs 5,492,940,000.0",Haryana
FastandUp,Ecommerce,2015.0,Mumbai,"Shilpa Khanna, Snehal Champaklal, Varun Khanna, Vijayaraghavan Venugopal",India,,Maharashtra
Fastudent,Edtech,2013.0,Noida,Geetanjali Khanna,India,,Uttar Pradesh
FatakPay,Fintech,2021.0,Mumbai,"Amit Lodha,Ajit Kumar,Abhishek Gandhi",India,,Maharashtra
Favcy,Deeptech,2015.0,Gurugram,"Harshit Joshi, Nischaiy Pradhan, Pranav Chaturvedi",India,,Haryana
Febi.ai,Enterprise Tech,2022.0,Gurugram,"Amit Jindal, Saurabh Jain, Ashu Goel, Rahul Bansal",India,"Rs 166,000,000.0",Haryana
Fedbank Financial Services,Fintech,2010.0,Mumbai,Jagadeesh Rao,India,,Maharashtra
Fedena,Enterprise Tech,2009.0,Bengaluru,Arvind G S,India,,Karnataka
Federal Transport Private Limited,Logistics,2014.0,Chennai,Chandan Singh,India,,Tamil Nadu
Fedo,Enterprise Tech,2018.0,Bengaluru,"Prasanth Madavana,Arun Mallavarapu",India,"Rs 83,000,000.0",Karnataka
FeedMyPockets,Consumer Services,2020.0,Bengaluru,"Chetan Kadadi, Naveen Ramachandra, Prashant Janadri",India,"Rs 165,170,000.0",Karnataka
Feeding India,Social Impact,2014.0,New Delhi,"Ankit Kawatra, Srishti Jain",India,,Delhi
Feepayr,Fintech,2016.0,Nagpur,Sham Somani,India,,Maharashtra
FeetApart,Health Tech,2015.0,Bengaluru,"Abhishek Roy, Ashrith GopalaKrishna",India,,Karnataka
FeetWings,Health Tech,2020.0,New Delhi,"Animesh Kumar, Hrithik Jaiswal",India,,Delhi
Fego.ai,Fintech,2020.0,Chennai,"Kumar Srikanthan, Kumar Srivatsan, Vishal Prasad",India,"Rs 141,100,000.0",Tamil Nadu
Felicity Games,Media & Entertainment,2023.0,Bengaluru,Anurag Choudhary,India,,Karnataka
Feline Spirits,Ecommerce,2019.0,New Delhi,"Prabhat Sharma,Rohit Saxena",India,,Delhi
Fella Homes,Real Estate Tech,2015.0,Gurugram,"Amit Gupta, Digendra Singh Rathore, Kunal Singh, Sayantan Biswas, Virender Pratap Singh, Yadwinder Paul Singh",India,"Rs 166,000,000.0",Haryana
Fello,Fintech,2021.0,Bengaluru,"Manish Maryada, Shourya Lala",India,"Rs 415,000,000.0",Karnataka
Femacare,Health Tech,2022.0,New Delhi,,India,,Delhi
Fermbox Bio,Health Tech,2022.0,Bengaluru,,India,,Karnataka
Fermentech Labs,Agritech,2017.0,Roorkee,Sidhart Arora,India,,Uttarakhand
FermionIC Design,Deeptech,2020.0,Bengaluru,"Gautam Singh, Abhra Bagchi, Prasun Bhattacharyya, Shabaaz Syed",India,"Rs 498,000,000.0",Karnataka
Ferns N Petals,Ecommerce,1994.0,Gurugram,Vikaas Gutgutia,India,"Rs 2,162,980,000.0",Haryana
Fi.Money,Fintech,2019.0,Bengaluru,"Sujith Narayanan, Sumit Gwalani",India,"Rs 11,371,000,000.0",Karnataka
Fibe,Fintech,2015.0,Pune,"Akshay Mehrotra, Ashish Goyal",India,"Rs 19,361,410,000.0",Maharashtra
Fibmold Packaging,Clean Tech,2022.0,Mumbai,"Param Gandhi, Vaibhav Garg",India,"Rs 827,510,000.0",Maharashtra
Fibroheal,Health Tech,2017.0,Bengaluru,"Bharat Tandon, Subramanian Shivaraman, Vivek Mishra",India,"Rs 167,660,000.0",Karnataka
FieldAssist,Enterprise Tech,2014.0,Gurugram,"Apurv Gupta, Divir Tiwari, Peeyush Jain, Rituraj Rathore",India,,Haryana
FieldEZ Technologies,Enterprise Tech,2011.0,Bengaluru,"Balamurugan Somasundaram, Balasubramanyam Mohan, Jinaraj P G, Megha Birudavolu",India,,Karnataka
Fieldproxy,Enterprise Tech,2016.0,Chennai,"Balakrishna Balasubramanian, Swaroop Vijayakumar",India,"Rs 85,490,000.0",Tamil Nadu
Figr,Enterprise Tech,2023.0,Bengaluru,"Chirag Singla, Moksh Garg",India,"Rs 207,500,000.0",Karnataka
FinAGG,Fintech,2020.0,Noida,"Nipun Kohli, Praveen Kumar, Srinivasan R.",India,"Rs 1,161,170,000.0",Uttar Pradesh
FinAlyzer,Fintech,2010.0,Bengaluru,"Karthik Ganeshan, Rangan Varadan, Venkatachalam P.K.",India,,Karnataka
FinBox,Fintech,2015.0,Bengaluru,"Anant Deshpande, Rajat Deshpande",India,"Rs 1,225,080,000.0",Karnataka
FinBucket,Fintech,2017.0,New Delhi,"Heena Jain, Parit Garg, Pulkit Jain, Sanchit Garg",India,"Rs 155,210,000.0",Delhi
FinFort Infotech,Fintech,2016.0,Mumbai,"Anoop Hegde, Khushal Kadakia",India,,Maharashtra
FinQy,Fintech,2019.0,Mumbai,Manish Aggarwal,India,"Rs 235,720,000.0",Maharashtra
FinREQ,Fintech,2011.0,Mumbai,Bhavik Mehta,India,,Maharashtra
FinVedic,Edtech,2023.0,Hyderabad,"Ravali Kotagiri, Srikath Ap, Srinivas Aravala, Vidya Dhari D",India,,Telangana
FinX,Edtech,2019.0,Mumbai,"Himanshu Vyapak,Upasana Koul",India,"Rs 498,000,000.0",Maharashtra
Finance Buddha,Fintech,2012.0,Bengaluru,"Parag Agarwal, Parth Pande, Vivek Bhatia",India,,Karnataka
FinanceHood,Fintech,2022.0,Gwalior,Siddhant Tiwari,India,,Madhya Pradesh
Financekaart,Fintech,2018.0,Lucknow,Ganga R. Gupta,India,,Uttar Pradesh
Financepeer,Fintech,2017.0,Mumbai,"Aman Gupta, Debi Prasad Baral, Naveesh Reddy, Rohit Gajbhiye, Sunit Gajbhiye",India,"Rs 2,880,930,000.0",Maharashtra
Finarkein Analytics,Enterprise Tech,2019.0,Pune,"Dheeraj Kumar, Nikhil Kurhe",India,"Rs 394,250,000.0",Maharashtra
Finaureus Technologies,Fintech,2017.0,Pune,"Arindam Ghosh, Nanda S., Ullal Bhat",India,,Maharashtra
Finayo,Fintech,2020.0,Gurugram,"Brajendra Singh Tomar,Yogesh Prakash",India,"Rs 159,360,000.0",Haryana
FincFriends,Fintech,2017.0,Gurugram,"Abhishek Bajaj,Dmitry Kobzar,Jitin Bhasin,Nikolay Zubtsov",India,"Rs 1,020,900,000.0",Haryana
Fincare,Fintech,2007.0,Bengaluru,Rajeev Yadav,India,"Rs 9,438,760,000.0",Karnataka
Fincash,Fintech,2016.0,Mumbai,"Gaurav Perti, Pawan Kumar",India,,Maharashtra
Finception,Media & Entertainment,2018.0,Bengaluru,"Bhanu Harish Gurram, Pawan Kumar Rai, Shrehith Karkera",India,,Karnataka
FindUrClass,Edtech,2012.0,Mumbai,"Aakash Jethwani, Rina Nathani",India,,Maharashtra
FindYahan,Consumer Services,2013.0,Gurugram,"Rachit Mathur, Snehil Khanor",India,,Haryana
FindYogi,Ecommerce,2012.0,Bengaluru,Naman Sarawagi,India,,Karnataka
Fine Feather Dental,Health Tech,2011.0,Ahmedabad,"Keval Shah, Manish Jobanputra, Manish Sharma",India,,Gujarat
Finflux,Fintech,2010.0,Bengaluru,"Ashok Auty, Nayan Ambali, Vishwas Babu A.J",India,,Karnataka
Fingerlix,Foodtech,2015.0,Mumbai,"Shree Bharambe,Abhijit Berde,Shripad Nadkarni,Varun Khanna",India,"Rs 2,160,490,000.0",Maharashtra
Fingpay,Fintech,2016.0,Mumbai,"Anuraag Agrawal, Pratyush Halen",India,"Rs 291,330,000.0",Maharashtra
Finhaat,Fintech,2021.0,Mumbai,"Navneet Shrivastava, Sandeep Katiyar, Vinod Singh",India,"Rs 249,830,000.0",Maharashtra
Finin,Fintech,2019.0,Bengaluru,"Suman Gandham, Sudheer Maram",India,,Karnataka
Finkraft,Enterprise Services,2020.0,Mumbai,Rohit Anand,India,,Maharashtra
Finly,Fintech,2015.0,Bengaluru,"Veekshith Rai, Vivek AG",India,,Karnataka
Finnov softwares services,Fintech,2017.0,Gurugram,"Umesh Sinha, Manish Meena, Rahul Jadav, Sanjay Kumar",India,,Haryana
Finnovate,Fintech,2007.0,Mumbai,"Nehal Mota,Naveen Singh,Nehal Mota,Naveen Singh",India,"Rs 83,000,000.0",Maharashtra
Finodaya Capital,Fintech,2024.0,Indore,"Neeraj Biyani, Abhitabh Dixit,Lokendra Tomar",India,"Rs 207,500,000.0",Madhya Pradesh
Finology,Fintech,2018.0,Raipur,"Pranjal Kamra, Priya Jain",India,,Chhattisgarh
Finomena,Fintech,2015.0,New Delhi,"Abhishek Garg, Riddhi Mittal, Shubhadit Sharma",India,,Delhi
Finova Capital,Fintech,2015.0,Jaipur,"Mohit Sahney, Sunita Sahney",India,"Rs 22,908,000,000.0",Rajasthan
Finsall,Fintech,2018.0,Bengaluru,"Prabal Khanna, Promod Khanna, Tim Mathews",India,"Rs 309,590,000.0",Karnataka
